label	expression_WT	expression_std_WT	expression_reps_WT	expression_pvalue_WT	expression_qvalue_WT	library_WT	expression_log2_WT	group_name_WT	plot_color_WT	variant_WT	expression_MUT	expression_std_MUT	expression_reps_MUT	expression_pvalue_MUT	expression_qvalue_MUT	library_MUT	expression_log2_MUT	group_name_MUT	plot_color_MUT	variant_MUT	wt_vs_mut_log2	wt_vs_mut_pvalue	wt_vs_mut_qvalue	expression_POLY	expression_SEM_POLY	expression_log2_POLY	autonomous_activity	crx_bound	nrl_bound	mef2d_bound	binding_group
chr1-131078792-131078956_CPPE	5.981409741985027	0.5225352635074857	3.0	0.0004375922753045788	0.0016472247982686845	1	2.5807267256504627	Weak enhancer	#a6cee3	WT	1.988852103431465	0.7666828453829415	3.0	0.07011360772499754	0.09143681832177517	1.0	0.9926612058567701	Inactive	#33a02c	MUT-allCrxSites	1.5880655197936926	0.027087099929206	0.056991839207616274	0.0	0.0	-6.643856189774724	False	True	False	True	CRX+MEF2D
chr1-131910343-131910507_CSPP	2.381455213099021	0.4955163034799821	3.0	0.0015579484263553926	0.00434904650725341	1	1.2524490936956532	Weak enhancer	#a6cee3	WT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-132064989-132065153_UPPN	0.9499126182894914	0.4520683749601268	3.0	0.5901474748499556	0.6202096439885738	1	-0.07261532052335049	Inactive	#33a02c	WT	0.9911295910601056	0.330181272455661	3.0	0.7460092902272111	0.7690471066099515	1.0	-0.011399518459758973	Inactive	#33a02c	MUT-allCrxSites	-0.061215802063591514	0.7902640973528328	0.8320355025523251	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-132303608-132303772_UPPE	0.1635900143278257	0.12188645264006286	3.0	0.03286324309997932	0.04868216011759648	1	-2.6030512847458755	Silencer	#e31a1c	WT	0.3949791358465073	0.10988069062246547	3.0	0.018735251732761568	0.030937944032767044	1.0	-1.3365036782283446	Silencer	#e31a1c	MUT-allCrxSites	-1.266547606517531	0.09340495333809867	0.14893175006042228	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-132367013-132367177_CPPP	7.57595512681158	1.071344900959991	3.0	1.4190098428500994e-05	0.0002352131142958768	1	2.9216182038079377	Strong enhancer	#1f78b4	WT	0.7587533406461654	0.19753998407010812	3.0	0.13254812792818485	0.1597690197970874	1.0	-0.39639698157538283	Inactive	#33a02c	MUT-allCrxSites	3.3180151853833206	0.0006892587984565309	0.005611310218139891	7.387022147979607	0.8831422384622544	2.8869445954736372	True	True	False	False	CRX only
chr1-132414110-132414274_CPPE	0.007808104203195405	0.009707238482467014	3.0	0.009580839228663016	0.018370599988904314	1	-6.8269527480322845	Silencer	#e31a1c	WT	0.3684042745381769	0.15016402943498938	3.0	0.02081541992263854	0.033724207471561664	1.0	-1.4367275344160906	Silencer	#e31a1c	MUT-allCrxSites	-5.390225213616194	0.008808312889118802	0.02618471195219862	0.13209043492483227	0.005792094264373178	-2.815118654669572	False	True	False	False	CRX only
chr1-133042650-133042814_CPRN	0.05502477966866415	0.015692211819116116	3.0	0.00205801628681265	0.005441630522941918	1	-4.157791119783824	Silencer	#e31a1c	WT	1.3478750209575054	0.05776329702722975	3.0	0.011650174779615758	0.021350510928560027	1.0	0.43175668260963845	NaN	grey	MUT-allCrxSites	-4.589547802393462	0.002040024993086113	0.010210533256211617	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-133893675-133893839_UPCE	3.269646962488803	0.9819830949249001	3.0	0.028211076543406106	0.04314688035130549	1	1.7095760416113792	Weak enhancer	#a6cee3	WT	3.2190814372024934	0.3075917692141519	3.0	0.0011740348238119256	0.003490157945617765	1.0	1.6870971751605428	Weak enhancer	#a6cee3	MUT-allCrxSites	0.02247886645083641	0.9071573416759062	0.9255552284805658	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-134086973-134087137_CPPE	4.400157896357125	0.13291473077459906	3.0	7.483251128735694e-05	0.0005003058160755561	1	2.1378831309247173	Weak enhancer	#a6cee3	WT	1.686022258733589	0.4491534914840147	3.0	0.02858803425488936	0.04354330819494714	1.0	0.7544790088078829	NaN	grey	MUT-allCrxSites	1.3834041221168345	0.0212245124985439	0.04772778627179729	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-134272950-134273114_CPPE	0.0	0.0	3.0	NaN	NaN	1	-9.965784284662087	Silencer	#e31a1c	WT	0.1348545502955126	0.028952666622659967	3.0	0.003843140524065412	0.008963598495479107	1.0	-2.8798652070688733	Silencer	#e31a1c	MUT-allCrxSites	-7.085919077593214	NaN	NaN	0.09437946341942104	0.021719858435181386	-3.2600902042191486	False	True	True	False	CRX+NRL
chr1-134420610-134420774_CPPE	2.029751594143134	0.33161673659143	3.0	0.0005600347605651255	0.001975118924458223	1	1.0220137768987316	Weak enhancer	#a6cee3	WT	2.366592460294753	0.23135665321347726	3.0	0.0007394362674634963	0.002437908187720869	1.0	1.2434207675749875	Weak enhancer	#a6cee3	MUT-allCrxSites	-0.2214069906762559	0.22759937070540118	0.30690719266254096	0.0	0.0	-6.643856189774724	False	True	True	False	CRX+NRL
chr1-134491438-134491602_CPNE	2.171587673011206	0.24616495908495464	3.0	0.004211959475424456	0.009627622062941208	1	1.1194143970011687	Weak enhancer	#a6cee3	WT	1.969181050257212	0.3094552091129523	3.0	0.0006907315773228693	0.002313830447519883	1.0	0.9783282125782665	NaN	grey	MUT-allCrxSites	0.14108618442290222	0.4091928847044355	0.4931427762838467	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-135375289-135375453_UPPP	1.0298136545945886	0.2725319196333145	3.0	0.9808940543129328	0.9837591736036444	1	0.043783552986755715	Inactive	#33a02c	WT	1.1869718197628132	0.18563906932479027	3.0	0.1455182039725497	0.17353163148004125	1.0	0.24850061394117254	Inactive	#33a02c	MUT-allCrxSites	-0.20471706095441683	0.41315250364571926	0.4965422432789594	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-135627907-135628071_CPPN	0.336741229283349	0.024177925080007767	3.0	0.0006254594789958558	0.002138395245756101	1	-1.5660097898329632	Silencer	#e31a1c	WT	1.2657742491776056	0.2991534464913852	3.0	0.10803499680108357	0.133330996052069	1.0	0.34115944585941554	Inactive	#33a02c	MUT-allCrxSites	-1.9071692356923788	0.006494205785633787	0.02128927610929572	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-135793436-135793600_CPPE	16.740371307154348	1.4267723067507347	3.0	3.5419248848068594e-06	0.0002270137722835543	1	4.065345800613323	Strong enhancer	#1f78b4	WT	5.882633546895642	0.38182360280835537	3.0	0.00010674620030603989	0.0006390149251197183	1.0	2.556707393339846	Weak enhancer	#a6cee3	MUT-allCrxSites	1.508638407273477	0.00011435191704573905	0.0024654775960850552	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-136007979-136008143_CPPP	0.5940951696449531	0.17728316889392698	3.0	0.0969076253651377	0.12150103159369245	1	-0.7488076873148012	Inactive	#33a02c	WT	0.6381756507246589	0.07526441927797924	3.0	0.03436096892116329	0.05025043431823302	1.0	-0.6457156447689752	Inactive	#33a02c	MUT-allCrxSites	-0.10309204254582593	0.6017321002897016	0.6692734584854844	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-136140231-136140395_CSPP	9.998405296980852	3.0131724402135127	3.0	0.0007347499726910192	0.002427452315275415	1	3.3218422948264066	Strong enhancer	#1f78b4	WT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	-6.643856189774724	False	True	True	False	CRX+NRL
chr1-137926402-137926566_CPPE	0.9498985007085716	0.2086660945174088	3.0	0.5972822738922676	0.6271594343818546	1	-0.07263673943691049	Inactive	#33a02c	WT	1.1084795067079616	0.1871777787032609	3.0	0.6081649142160311	0.6380289704575429	1.0	0.14988301963600778	Inactive	#33a02c	MUT-allCrxSites	-0.22251975907291827	0.36262923849405937	0.4487408173606714	0.2293798900591645	0.06824307403107396	-2.062626136133643	False	True	False	True	CRX+MEF2D
chr1-150312783-150312947_CPPE	0.8781060148753227	0.25828214338715144	3.0	0.39273178041617857	0.4277955287696738	1	-0.18589093871974388	Inactive	#33a02c	WT	1.3040888191501434	0.111766159678114	3.0	0.06628644663268282	0.08727443137861034	1.0	0.38414799421817547	Inactive	#33a02c	MUT-allCrxSites	-0.5700389329379194	0.11119177447070809	0.17157551042983032	0.0	0.0	-6.643856189774724	False	True	True	True	All three
chr1-150322339-150322503_CPPP	0.005169632656311076	0.003929569115091999	3.0	0.004515131097553778	0.010175450157496956	1	-7.340599691672356	Silencer	#e31a1c	WT	0.1146997961797282	0.04078410393200466	3.0	0.0022393041393759753	0.005796626277856928	1.0	-3.111541771935083	Silencer	#e31a1c	MUT-allCrxSites	-4.229057919737273	0.005108597866315068	0.01835726925587942	0.0	0.0	-6.643856189774724	False	True	True	False	CRX+NRL
chr1-150329669-150329833_CPPP	0.4796346339023814	0.15033051276847084	3.0	0.02819864781315062	0.0431553327086326	1	-1.056987483958241	Silencer	#e31a1c	WT	0.20715836905856666	0.06944639981609897	3.0	0.012708376801008442	0.02290557453410108	1.0	-2.2642465313332343	Silencer	#e31a1c	MUT-allCrxSites	1.2072590473749933	0.03084025389553509	0.06286605521354789	0.0	0.0	-6.643856189774724	False	True	True	False	CRX+NRL
chr1-150393010-150393174_CBPP	6.518938115646701	2.0186749256514225	3.0	0.0060813831687782606	0.01290079827551505	1	2.70485827110155	Weak enhancer	#a6cee3	WT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-151344227-151344391_UPPP	3.4183238376804037	0.25373291374505363	3.0	0.00019880605247637868	0.0009556606942539524	1	1.7737110641550764	Weak enhancer	#a6cee3	WT	5.248688749044232	0.5737917080953729	3.0	7.275947007037768e-05	0.0004982261718351929	1.0	2.392231888774616	Weak enhancer	#a6cee3	MUT-allCrxSites	-0.6185208246195395	0.0072463572504274055	0.0228024906581212	0.2658322185333901	0.048451029026466835	-1.8581371144545835	False	False	False	False	No binding
chr1-152745969-152746133_UPPE	9.426478186633254	1.2039643936298996	3.0	1.3494052916332813e-05	0.00023166397274575648	1	3.2368719072526524	Strong enhancer	#1f78b4	WT	5.0787652392008775	0.20535219959848666	3.0	2.9418659789664552e-05	0.0003185033729930574	1.0	2.344761824543349	Weak enhancer	#a6cee3	MUT-allCrxSites	0.8921100827093036	0.008924860078865412	0.026411124396280454	0.10775270683567184	0.012647504367770237	-3.0861678707731652	False	False	False	False	No binding
chr1-155111753-155111917_CPPE	0.0	0.0	3.0	NaN	NaN	1	-9.965784284662087	Silencer	#e31a1c	WT	0.6834514420282692	0.12725480114526758	3.0	0.008729795452009838	0.0170863708215844	1.0	-0.546979900854784	NaN	grey	MUT-allCrxSites	-9.418804383807302	NaN	NaN	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-155249959-155250123_UPCE	8.515737570759486	1.4074732070394314	3.0	7.276017970904047e-06	0.0002159001134946651	1	3.090300896196885	Strong enhancer	#1f78b4	WT	3.109405736122365	0.33353525397851386	3.0	0.00013510272860144324	0.0007371609720625852	1.0	1.6371027846362116	Weak enhancer	#a6cee3	MUT-allCrxSites	1.4531981115606736	0.0017554600130649523	0.009346574072275269	1.563917316352648	0.1991249731579554	0.6543597527759955	True	False	False	False	No binding
chr1-156179894-156180058_UPCE	1.3787962260529574	0.31627627755606674	3.0	0.11742790510226983	0.14345004824056187	1	0.4644552196337727	Inactive	#33a02c	WT	1.1385590511512484	0.8294946882218288	3.0	0.8240582464967735	0.8406723240471117	1.0	0.18847568598601916	Inactive	#33a02c	MUT-allCrxSites	0.2759795336477535	0.42553458729956517	0.5083098083907135	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-157306846-157307010_UPRE	6.537461465133358	0.6399928500909563	3.0	0.0004284174450507925	0.0016241345886113243	1	2.7089512018169315	Weak enhancer	#a6cee3	WT	1.2196216126118835	0.2810640081699189	3.0	0.31188873645321924	0.34640692147195584	1.0	0.28761604044606115	Inactive	#33a02c	MUT-allCrxSites	2.4213351613708705	0.002030619506445028	0.010202498006773737	5.485143147698412	0.4722855893173976	2.4581570636648977	True	False	False	False	No binding
chr1-157380933-157381097_CPPE	16.158545504752915	1.5704420751597767	3.0	3.4992582701304085e-06	0.0002336240903405121	1	4.014314717032769	Strong enhancer	#1f78b4	WT	3.8685421189273925	0.3511407354299362	3.0	0.0008333578614894957	0.0026813595985140607	1.0	1.952162863053291	Weak enhancer	#a6cee3	MUT-allCrxSites	2.062151853979478	5.031423222600505e-05	0.001935618110341606	5.09893602766952	0.07884211973180165	2.353022870922234	True	True	False	False	CRX only
chr1-158355777-158355941_UPCP	0.945727104488447	0.14615838929186034	3.0	0.6427699777328726	0.6714027125080223	1	-0.07897946828427904	Inactive	#33a02c	WT	1.1647797437473308	0.3951844418879283	3.0	0.7391617683552553	0.762806058498006	1.0	0.22129523912181215	Inactive	#33a02c	MUT-allCrxSites	-0.3002747074060912	0.4913619664811918	0.5704450758793481	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-158546627-158546791_CPCN	0.8193664520676481	0.20041871439083173	3.0	0.12483802404208155	0.15134839383865978	1	-0.285659599199829	Inactive	#33a02c	WT	4.06539900039476	0.5677879982486581	3.0	3.9959278254596334e-05	0.0003576987906328576	1.0	2.023751781254666	Weak enhancer	#a6cee3	MUT-allCrxSites	-2.3094113804544953	0.0015694613126940385	0.00884851464225777	0.10361769300838036	0.029523456497360587	-3.137740580221974	False	True	False	True	CRX+MEF2D
chr1-16053660-16053824_CPPN	0.0	0.0	3.0	NaN	NaN	1	-9.965784284662087	Silencer	#e31a1c	WT	0.5543124581406258	0.3464608283657177	3.0	0.1222363777182762	0.14868174789771094	1.0	-0.8486283324961896	Inactive	#33a02c	MUT-allCrxSites	-9.117155952165897	NaN	NaN	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-160741382-160741546_UPPN	0.220993613997522	0.04896023723692678	3.0	0.002857321771134764	0.007065404194364614	1	-2.171409919152607	Silencer	#e31a1c	WT	1.1102678524140674	0.283017213853836	3.0	0.7580890411282339	0.7799944393628897	1.0	0.15220659600205194	Inactive	#33a02c	MUT-allCrxSites	-2.323616515154659	0.0012127519901769831	0.007712866790039679	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-163779410-163779574_CPPN	3.5097275979573226	0.6979512370947543	3.0	0.00022764749472208883	0.0010461773490717792	1	1.8117700599264055	Weak enhancer	#a6cee3	WT	4.798999291667312	0.5981384059302025	3.0	6.849672088248884e-05	0.00048067698873302756	1.0	2.2630341929362663	Weak enhancer	#a6cee3	MUT-allCrxSites	-0.4512641330098608	0.08512071015716087	0.13796516590528676	0.10021996905676203	0.03853370376165858	-3.1815424676275526	False	True	False	False	CRX only
chr1-166003311-166003475_CPPP	4.3565527174940994	1.9014265230523133	3.0	0.013982342022395648	0.02471070518443231	1	2.1235181181219867	Weak enhancer	#a6cee3	WT	5.842496844351888	2.0481409747457944	3.0	0.014808708557282578	0.025913892258775884	1.0	2.546831959898884	Weak enhancer	#a6cee3	MUT-allCrxSites	-0.42331384177689735	0.36032502996832483	0.44631168484712963	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-167385671-167385835_UPCN	1.1569399124223632	0.2253136764294436	3.0	0.1873309382582768	0.2174595074154882	1	0.2115603912378265	Inactive	#33a02c	WT	1.0324190196603378	0.2512725683442137	3.0	0.9262254602344288	0.934781815525278	1.0	0.04742534134022599	Inactive	#33a02c	MUT-allCrxSites	0.1641350498976005	0.52536730988754	0.6026136579943604	0.10035938511499742	0.029860681053386812	-3.1797187712678014	False	False	False	False	No binding
chr1-168284956-168285120_UPCE	2.5791305844452386	0.4827691196965504	3.0	0.00025262441183872123	0.00112337238455942	1	1.3674440845493188	Weak enhancer	#a6cee3	WT	2.541859000656444	0.558476376211741	3.0	0.003351128622821273	0.008014365815871572	1.0	1.3464514680471624	Weak enhancer	#a6cee3	MUT-allCrxSites	0.020992616502156336	0.9053584934279397	0.9244409909474981	0.18591648744327866	0.06944950770569255	-2.3516892814995694	False	False	False	False	No binding
chr1-170867720-170867884_CPPP	1.0892154622801045	0.15200098264598585	3.0	0.3270483145631537	0.36090937743459134	1	0.12461328696942242	Inactive	#33a02c	WT	1.5889693320615426	0.4863199353799689	3.0	0.14313607420532246	0.17107287635628665	1.0	0.66899893852257	Inactive	#33a02c	MUT-allCrxSites	-0.5443856515531476	0.17569573647114262	0.24772909447098945	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-171502725-171502889_UPRE	3.0143136593331636	0.6697790962947415	3.0	0.0005831793258641547	0.0020314079850934728	1	1.5923080821346118	Weak enhancer	#a6cee3	WT	2.479719569399371	0.2765991332072425	3.0	0.00037171214062683245	0.0014730587469028718	1.0	1.3107586563494789	Weak enhancer	#a6cee3	MUT-allCrxSites	0.281549425785133	0.30155992715242064	0.38582365638933763	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-172126243-172126407_UPPP	1.650164266335904	0.4136197260290301	3.0	0.1233804524888813	0.14984584009955848	1	0.7234836541333615	Inactive	#33a02c	WT	1.8544526410914768	0.5069229525241201	3.0	0.07303273500404413	0.09462758953219408	1.0	0.8917711778964337	Inactive	#33a02c	MUT-allCrxSites	-0.1682875237630722	0.6256824411280792	0.6904324800299727	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-172202745-172202909_CPPP	6.190591562144233	0.6875688498607285	3.0	0.0002381243950031194	0.0010849895419715592	1	2.630310305024954	Weak enhancer	#a6cee3	WT	5.691740216189443	0.7951436896356109	3.0	1.663198072703081e-05	0.00025141487847433054	1.0	2.509123264955361	Weak enhancer	#a6cee3	MUT-allCrxSites	0.12118704006959291	0.4438764669309446	0.5266922456114385	0.0	0.0	-6.643856189774724	False	True	False	True	CRX+MEF2D
chr1-177003036-177003200_CPPE	1.2975110813430473	0.3489280730462822	3.0	0.21328602998381824	0.24451847033918775	1	0.37685832586109874	Inactive	#33a02c	WT	0.0	0.0	3.0	NaN	NaN	1.0	-9.965784284662087	Silencer	#e31a1c	MUT-allCrxSites	10.342642610523185	NaN	NaN	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-177299685-177299849_CPPE	0.4019838856428697	0.1465888461248804	3.0	0.01997387028817295	0.032691315790005906	1	-1.3112059448882902	Silencer	#e31a1c	WT	0.9580828817269209	0.3896132475026066	3.0	0.6917350720921822	0.7184897345607433	1.0	-0.06027259988415786	Inactive	#33a02c	MUT-allCrxSites	-1.2509333450041324	0.049016675939169085	0.0896278827517705	0.0	0.0	-6.643856189774724	False	True	True	False	CRX+NRL
chr1-177983157-177983321_CSPP	1.7962309029935308	0.5366332031980419	3.0	0.03482727081391645	0.05083956598921846	1	0.8457757740139459	Inactive	#33a02c	WT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-179586526-179586690_UPPE	6.26419096668709	3.5511856369061503	3.0	0.028582921944052382	0.04354932037561325	1	2.6473584844064484	Weak enhancer	#a6cee3	WT	4.233467957760902	0.1495803212551469	3.0	3.4838293972657585e-05	0.00034177077372768373	1.0	2.0821807126698566	Weak enhancer	#a6cee3	MUT-allCrxSites	0.5651777717365918	0.49379257344919714	0.5727585155822198	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-180793222-180793386_CPPE	22.66391922382339	3.9832538111735536	3.0	1.771053155213332e-06	0.0005320907823194054	1	4.502389114456856	Strong enhancer	#1f78b4	WT	9.895411642235556	0.8800473205583584	3.0	3.498224877881165e-05	0.000341094665070482	1.0	3.3069055106073866	Strong enhancer	#1f78b4	MUT-allCrxSites	1.1954836038494698	0.005627999285350367	0.019423279855509977	20.403907873233344	5.468877321443737	4.351480481553227	True	True	True	False	CRX+NRL
chr1-180851031-180851195_CSPP	0.3858272372884185	0.1814574627434373	3.0	0.05335543358319815	0.07218676308315042	1	-1.3702387134193703	NaN	grey	WT	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2381825009294707	0.037247207003638205	-2.010526698646648	False	True	False	False	CRX only
chr1-180863711-180863875_CPPE	6.101257556397602	0.7490133660482748	3.0	0.0002107811949375331	0.0009894777383444547	1	2.6093430726559936	Weak enhancer	#a6cee3	WT	7.177798595738863	0.5745968831213553	3.0	1.3427088858992947e-05	0.00023217271994668744	1.0	2.8437424227396937	Strong enhancer	#1f78b4	MUT-allCrxSites	-0.23439935008370005	0.13051449569461337	0.1945816417574707	0.0	0.0	-6.643856189774724	False	True	False	False	CRX only
chr1-182792901-182793065_UPCN	0.9057726406031519	0.12205867034273905	3.0	0.3250088118407278	0.35882346314156605	1	-0.1411872325488681	Inactive	#33a02c	WT	0.8622570546451941	0.03341302081878593	3.0	0.16414179592583686	0.1932475172705113	1.0	-0.21213787587525137	Inactive	#33a02c	MUT-allCrxSites	0.07095064332638326	0.6552510720579308	0.7164127073712233	0.070200295587735	0.013803201657456035	-3.640248635860445	False	False	False	True	MEF2D only
chr1-183296635-183296799_UPPP	2.2226230627144914	0.5795213224805388	3.0	0.0145931344927242	0.0256299588989862	1	1.152912250452831	Weak enhancer	#a6cee3	WT	2.0898507976445337	0.5002766337513662	3.0	0.008237167199424794	0.016321542756650858	1.0	1.06409011540509	Weak enhancer	#a6cee3	MUT-allCrxSites	0.08882213504774117	0.7926617296410605	0.8341122625667797	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-187215293-187215457_UPPP	0.6699756416479602	0.2591743601917784	3.0	0.10811709821643067	0.1333638417055125	1	-0.5756677015044616	Inactive	#33a02c	WT	1.8560527551816497	0.12646036147629094	3.0	0.0020937239896429128	0.005502750802741106	1.0	0.8930147999571652	NaN	grey	MUT-allCrxSites	-1.4686825014616267	0.03363796596061846	0.06720742282559411	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
chr1-188018140-188018304_UPCN	1.6046779403150593	0.550774607642421	3.0	0.14762796717034893	0.1757423571540038	1	0.683182552566116	Inactive	#33a02c	WT	0.277902650440965	0.011757575009543794	3.0	8.099254474830373e-05	0.0005289825578873587	1.0	-1.8421664503746065	Silencer	#e31a1c	MUT-allCrxSites	2.5253490029407226	0.01162494146217905	0.031524720316233996	0.0	0.0	-6.643856189774724	False	False	False	False	No binding
