LOCUS	CLASS	MEAN	SEM	CI_95	DF	NUM_BC	CHIP_READS	CRX_MOTIFN	CRX_MOTIF_SUM	GC_FRAC	ORCHID_SUM	PHOTOR_GENE	OCCUPANCY_6	OCCUPANCY_9	AAAA	CCCGGGGC_FREQ	NRL_MOTIFN	NRL_MOTIF_SCORE
chr1_128662086_CBRM	CBRM	0.271229906	0.08434431	0.183770225	12	3	55	2	29.25996518	0.5	34.07658333	0	2.83765016	3.656124605	0	0.240963855	0	0
chr1_128662086_CBRMUT	CBRMUT	0.721713337	0.028783085	0.062712874	12	3	NA	0	0	0.520408163	35.65458333	NA	0.84128115	1.659936884	0	0.240963855	0	0
chr1_128662086_SCRCBRM	SCRCBRM	0.589227238	0.062650703	0.153300631	6	2	NA	1	11.6507978	0.5	33.74745833	NA	2.484303569	3.044136672	0	0.240963855	1	13.01270533
chr1_129617359_UBR	UBR	0.950297507	0.048635599	0.105967729	12	3	NA	2	21.06564975	0.316326531	21.54083333	NA	1.904727524	2.41788187	0	0.084337349	0	0
chr1_132280499_SCRUBR	SCRUBR	0.003130761	0.000996224	0.002560874	5	1	NA	0	0	0.255102041	4.871958333	NA	0.234943239	1.9208767	2	0.108433735	0	0
chr1_132609061_CBRM	CBRM	1.663510909	0.130241236	0.283770907	12	3	75	1	12.83353649	0.520408163	34.70183333	1	0.996539409	1.03293486	0	0.277108434	0	0
chr1_132609061_CBRMUT	CBRMUT	1.401517978	0.072820064	0.158661084	12	3	NA	0	0	0.530612245	35.44170833	NA	0.001894049	0.037328045	0	0.277108434	0	0
chr1_132612539_CBRNO	CBRNO	2.47932451	0.239021951	0.520783418	12	3	46	0	0	0.591836735	37.56470833	1	0.000629048	0.012586557	0	0.385542169	0	0
chr1_134617966_CBRM	CBRM	8.376149638	0.237100518	0.516596979	12	3	65	1	15.76968089	0.551020408	36.50495833	3	1.061272178	1.764717594	0	0.240963855	0	0
chr1_134617966_CBRMUT	CBRMUT	4.424352287	0.306445517	0.667686557	12	3	NA	0	0	0.56122449	37.08258333	NA	0.023680457	0.402076113	0	0.240963855	0	0
chr1_134617966_SCRCBRM	SCRCBRM	2.123852303	0.082459239	0.179663014	12	3	NA	1	12.07981953	0.551020408	35.72095833	NA	1.841356565	2.920210769	0	0.265060241	0	0
chr1_135957589_CBRNO	CBRNO	1.286393398	0.037025664	0.080671887	12	3	68	0	0	0.581632653	38.48783333	2	0.000358687	0.00719175	0	0.34939759	0	0
chr1_135957589_SCRCBRNO	SCRCBRNO	0.526057196	0.029098062	0.063399149	12	3	NA	0	0	0.581632653	38.64008333	NA	0.000683401	0.01366814	0	0.34939759	0	0
chr1_13598301_CBRM	CBRM	2.405555855	0.185391295	0.403932407	12	3	26	2	23.36636136	0.459183673	30.19483333	0	3.103725151	4.753453249	0	0.228915663	0	0
chr1_13598301_CBRMUT	CBRMUT	0.952082443	0.053294927	0.11611952	12	3	NA	0	0	0.479591837	31.92033333	NA	1.168577464	2.750426943	0	0.228915663	0	0
chr1_13598301_SCRCBRM	SCRCBRM	1.057406077	0.049273041	0.107356595	12	3	NA	0	0	0.459183673	30.94020833	NA	1.187013614	3.182313429	0	0.228915663	0	0
chr1_136336330_CBRM	CBRM	3.583896117	0.137767749	0.300169749	12	3	94	1	13.21732305	0.408163265	28.90133333	0	1.34462863	3.136066694	0	0.168674699	1	10.56524636
chr1_136336330_CBRMUT	CBRMUT	1.910520203	0.15415116	0.335866088	12	3	NA	0	0	0.418367347	29.80808333	NA	0.349265602	2.140783381	0	0.168674699	1	10.56524636
chr1_136455223_CBRM	CBRM	0.096361862	0.025543832	0.055655156	12	3	94	1	11.6507978	0.520408163	36.65108333	0	1.059156389	1.837470744	0	0.301204819	2	28.59611641
chr1_136455223_CBRMUT	CBRMUT	0.150864325	0.053718514	0.117042435	12	3	NA	0	0	0.530612245	37.47445833	NA	0.070047805	0.836119365	0	0.301204819	2	28.59611641
chr1_137002747_CBRM	CBRM	1.217446754	0.077989136	0.16992351	12	3	36	2	24.63713897	0.479591837	32.11495833	0	1.999256185	2.324678099	0	0.240963855	0	0
chr1_137002747_CBRMUT	CBRMUT	0.49986941	0.038457169	0.083790865	12	3	NA	0	0	0.5	33.92845833	NA	0.02209241	0.331385074	0	0.240963855	0	0
chr1_137225706_CBRM	CBRM	5.228937174	0.469637567	1.023251028	12	3	33	1	12.07981953	0.479591837	31.04508333	0	1.828065063	2.897235631	1	0.192771084	0	0
chr1_137225706_CBRMUT	CBRMUT	1.547800277	0.164869492	0.403420809	6	2	NA	0	0	0.489795918	31.86845833	NA	0.756820996	1.437502559	1	0.192771084	0	0
chr1_137225706_SCRCBRM	SCRCBRM	1.837404185	0.083608557	0.182167161	12	3	NA	1	14.90476851	0.479591837	30.67758333	NA	1.047138698	1.662087951	1	0.192771084	0	0
chr1_137227275_CBRM	CBRM	0.10287284	0.006156512	0.01341387	12	3	46	1	10.77169723	0.469387755	30.19583333	0	0.918748295	1.684655072	1	0.253012048	0	0
chr1_137227275_CBRMUT	CBRMUT	0.267861909	0.026547726	0.05784245	12	3	NA	0	0	0.479591837	31.12420833	NA	0.075032847	0.675248806	1	0.265060241	0	0
chr1_137227275_SCRCBRM	SCRCBRM	0.17936578	0.011946376	0.026028884	12	3	NA	0	0	0.469387755	30.79045833	NA	1.10689944	3.374674331	1	0.240963855	0	0
chr1_137511546_CBRNO	CBRNO	0.083815255	0.005543714	0.0120787	12	3	22	0	0	0.489795918	35.82158333	0	0.469373201	1.757582002	0	0.192771084	0	0
chr1_138025707_CBRM	CBRM	3.194102431	0.487947454	1.063144793	12	3	104	2	21.11345427	0.448979592	27.06095833	0	3.12925503	3.972113055	0	0.180722892	0	0
chr1_138025707_CBRMUT	CBRMUT	3.49807171	0.239436343	0.521686297	12	3	NA	0	0	0.469387755	28.81270833	NA	0.829362938	1.839039555	0	0.192771084	0	0
chr1_138025707_SCRCBRM	SCRCBRM	0.204083053	0.008951962	0.019504623	12	3	NA	0	0	0.448979592	27.65220833	NA	0.655032558	2.10243878	1	0.180722892	0	0
chr1_141151392_CBRM	CBRM	2.547586731	0.158239684	0.344774206	12	3	65	1	12.83353649	0.469387755	29.85270833	1	1.912613401	2.732178342	0	0.21686747	0	0
chr1_141151392_CBRMUT	CBRMUT	0.711361055	0.03006157	0.065498449	12	3	NA	0	0	0.479591837	30.85308333	NA	0.921314115	1.735078166	0	0.21686747	0	0
chr1_141229399_SCRUBR	SCRUBR	0.828779233	0.067703083	0.147512153	12	3	NA	0	0	0.357142857	23.19245833	NA	0.367654591	1.535821555	0	0.144578313	0	0
chr1_141229399_UBR	UBR	0.569578605	0.037633447	0.081996132	12	3	NA	1	10.77169723	0.357142857	22.73370833	NA	1.280263962	1.979963501	0	0.13253012	0	0
chr1_142396649_SCRUBR	SCRUBR	0.420099824	0.043526203	0.094835327	12	3	NA	1	9.981741859	0.489795918	32.66395833	NA	1.080617385	2.451716589	0	0.204819277	0	0
chr1_142396649_UBR	UBR	0.248401422	0.023158403	0.05045776	12	3	NA	2	23.53148538	0.489795918	33.04745833	NA	2.498796553	2.976530051	0	0.192771084	0	0
chr1_14272219_UBR	UBR	0.273612258	0.020474606	0.044610275	12	3	NA	1	11.41981592	0.418367347	27.44933333	NA	1.065863852	2.555679497	0	0.168674699	0	0
chr1_143999369_UBR	UBR	0.004850047	0.001685265	0.003671873	12	3	NA	1	11.41981592	0.37755102	26.34170833	NA	1.604982708	2.235872078	0	0.096385542	0	0
chr1_153577839_SCRUBR	SCRUBR	1.318816359	0.083658792	0.182276612	12	3	NA	1	11.6507978	0.510204082	33.62308333	NA	0.993332421	1.083672484	1	0.240963855	0	0
chr1_153577839_UBR	UBR	0.911520976	0.040786191	0.088865361	12	3	NA	2	21.99552658	0.510204082	33.83095833	NA	1.815134578	2.007407779	0	0.253012048	0	0
chr1_154430335_CBRM	CBRM	0.128080826	0.011195474	0.02439281	12	3	24	1	10.58062939	0.418367347	30.64670833	0	1.635946384	4.180454112	0	0.144578313	0	0
chr1_154430335_CBRMUT	CBRMUT	0.153586023	0.009118251	0.019866937	12	3	NA	0	0	0.428571429	31.41283333	NA	0.734564705	3.184677966	0	0.156626506	0	0
chr1_155152829_UBR	UBR	0.763521015	0.025240024	0.054993217	12	3	NA	1	10.27157268	0.459183673	31.79520833	NA	0.900045164	1.003004609	3	0.168674699	0	0
chr1_157038703_CBRNO	CBRNO	0.013260768	0.004655532	0.01014352	12	3	26	0	0	0.530612245	34.20745833	0	0.740742573	1.910826394	0	0.277108434	0	0
chr1_157038703_SCRCBRNO	SCRCBRNO	0.542490239	0.016894638	0.036810206	12	3	NA	0	0	0.530612245	33.42958333	NA	0.93596157	1.914476166	0	0.277108434	0	0
chr1_157411956_CBRM	CBRM	0.005598378	0.001477867	0.003219992	12	3	56	1	15.76968089	0.459183673	29.52458333	2	1.110905737	1.937864412	0	0.21686747	0	0
chr1_157411956_CBRMUT	CBRMUT	0.07039519	0.007446739	0.016225029	12	3	NA	0	0	0.469387755	30.10220833	NA	0.112971594	0.956612991	0	0.21686747	0	0
chr1_157411956_SCRCBRM	SCRCBRM	0.574336041	0.049891164	0.108703368	12	3	NA	0	0	0.459183673	28.55983333	NA	0.547404102	2.298738838	1	0.21686747	0	0
chr1_158179609_UBR	UBR	0.174767758	0.069571152	0.170234348	6	2	NA	1	10.34472878	0.520408163	35.36145833	NA	0.871615697	1.494754088	0	0.228915663	0	0
chr1_159111333_CBRM	CBRM	3.791992782	0.134198775	0.292393632	12	3	60	1	11.75664289	0.540816327	38.40358333	0	0.985212488	1.005163236	0	0.301204819	0	0
chr1_159111333_CBRMUT	CBRMUT	2.631914537	0.20437389	0.445291876	12	3	NA	0	0	0.551020408	39.38920833	NA	0.000363888	0.007300331	0	0.301204819	0	0
chr1_162217504_CBRNO	CBRNO	0.429632529	0.032155493	0.078681597	6	2	25	0	0	0.37755102	19.78445833	0	0.714632629	3.825394517	0	0.144578313	1	10.34472878
chr1_162217504_SCRCBRNO	SCRCBRNO	1.256948356	0.387006716	0.946970604	6	2	NA	0	0	0.37755102	19.25833333	NA	0.760238172	2.121521114	0	0.144578313	0	0
chr1_163755659_SCRUBR	SCRUBR	1.179756876	0.066304406	0.144464704	12	3	NA	1	10.97446653	0.357142857	23.18658333	NA	1.001153705	1.570359224	1	0.144578313	0	0
chr1_163755659_UBR	UBR	0.432509394	0.040137375	0.087451714	12	3	NA	1	12.07981953	0.357142857	23.89020833	NA	1.046727534	1.753127612	1	0.144578313	0	0
chr1_163899159_CBRM	CBRM	0.086102571	0.013501994	0.029418279	12	3	37	2	20.68945756	0.530612245	35.20220833	0	1.632218553	2.019993161	0	0.240963855	0	0
chr1_163899159_CBRMUT	CBRMUT	0.774385635	0.027612852	0.067566163	6	2	NA	0	0	0.551020408	37.39770833	NA	0.002129409	0.04197314	0	0.253012048	0	0
chr1_164545764_CBRNO	CBRNO	0.158330211	0.00878595	0.019142915	12	3	46	0	0	0.459183673	35.04883333	0	0.001888858	0.03734919	0	0.204819277	0	0
chr1_169049831_CBRM	CBRM	2.472086928	0.196602061	0.428358536	12	3	20	1	13.21732305	0.5	35.15595833	0	1.024665409	1.497098367	0	0.265060241	1	10.56524636
chr1_169049831_CBRMUT	CBRMUT	1.767476354	0.090487982	0.19715612	12	3	NA	0	0	0.510204082	36.06270833	NA	0.029403757	0.503847077	0	0.265060241	1	10.56524636
chr1_169049831_SCRCBRM	SCRCBRM	0.316275512	0.012171069	0.029781511	6	2	NA	0	0	0.5	35.60345833	NA	1.104075838	2.845909373	0	0.265060241	1	11.06120385
chr1_169368500_CBRM	CBRM	0.035253123	0.007719987	0.016820385	12	3	116	1	10.53282488	0.459183673	28.24395833	0	1.771750184	4.20033956	0	0.21686747	0	0
chr1_169368500_CBRMUT	CBRMUT	0.650749791	0.061147483	0.133228747	12	3	NA	0	0	0.469387755	29.22958333	NA	0.828522625	3.141938576	0	0.21686747	0	0
chr1_169368500_SCRCBRM	SCRCBRM	0.246569163	0.028061619	0.061140936	12	3	NA	1	10.97446653	0.459183673	28.21020833	NA	1.302760489	2.162281338	0	0.21686747	0	0
chr1_170280962_CBRM	CBRM	1.239633193	0.111020013	0.241891514	12	3	24	2	20.74687441	0.530612245	31.46883333	0	2.793728863	3.936126273	1	0.265060241	0	0
chr1_170280962_CBRMUT	CBRMUT	1.310497949	0.09602957	0.209230187	12	3	NA	0	0	0.551020408	33.12483333	NA	1.275933287	1.967673977	1	0.289156627	0	0
chr1_170363299_UBR	UBR	0.12392021	0.018551717	0.040420667	12	3	NA	2	27.1894968	0.336734694	17.93420833	NA	2.286823118	3.305020688	1	0.084337349	0	0
chr1_172141902_CBRNO	CBRNO	0.000440026	0.000171117	0.00037283	12	3	37	0	0	0.43877551	27.52383333	1	0.333545024	2.838513151	0	0.180722892	1	12.61868561
chr1_172141902_SCRCBRNO	SCRCBRNO	0.153287204	0.012139868	0.026450467	12	3	NA	0	0	0.43877551	28.44483333	NA	1.051600249	3.379736713	0	0.180722892	1	10.34472878
chr1_174613437_CBRNO	CBRNO	0.034692674	0.005378202	0.011718081	12	3	48	0	0	0.418367347	30.00820833	0	1.845503821	4.256636227	0	0.120481928	0	0
chr1_175571419_SCRUBR	SCRUBR	0.200558925	0.022549819	0.049131771	12	3	NA	0	0	0.397959184	23.88883333	NA	0.67457908	2.000704325	1	0.156626506	0	0
chr1_175571419_UBR	UBR	0.140352221	0.013758853	0.029977927	12	3	NA	1	15.76968089	0.397959184	23.26595833	NA	1.007667889	1.16776512	1	0.144578313	0	0
chr1_179375750_CBRNO	CBRNO	0.452053945	0.02213134	0.048219985	12	3	50	0	0	0.469387755	31.09533333	0	1.051110092	3.210242549	0	0.204819277	0	0
chr1_179410769_UBR	UBR	0.674394688	0.028593026	0.06229877	12	3	NA	2	25.97162871	0.43877551	26.03783333	NA	1.841594416	2.310082364	1	0.168674699	0	0
chr1_180264699_CBRM	CBRM	1.730924472	0.079576896	0.173382937	12	3	28	2	21.46874144	0.397959184	26.58945833	0	2.505798449	4.217771677	0	0.144578313	0	0
chr1_180264699_CBRMUT	CBRMUT	0.479966761	0.025926128	0.056488106	12	3	NA	0	0	0.418367347	28.51183333	NA	0.658635601	2.214610739	0	0.144578313	0	0
chr1_180264699_SCRCBRM	SCRCBRM	1.82760125	0.069357719	0.151117293	12	3	NA	0	0	0.397959184	26.59183333	NA	0.523339833	2.570670051	0	0.144578313	0	0
chr1_181367969_UBR	UBR	0.716824624	0.041358071	0.090111379	12	3	NA	1	10.58062939	0.489795918	32.73695833	NA	0.956289206	1.592210622	0	0.228915663	0	0
chr1_182772184_CBRM	CBRM	5.033982175	0.564093054	1.229051586	12	3	124	2	26.74017976	0.469387755	30.63633333	0	3.377748884	4.368866681	0	0.21686747	0	0
chr1_182772184_CBRMUT	CBRMUT	2.110520058	0.214641794	0.467663687	12	3	NA	0	0	0.489795918	31.79158333	NA	1.374729871	2.211638126	0	0.21686747	0	0
chr1_182772184_SCRCBRM	SCRCBRM	0.680307266	0.054645617	0.119062416	12	3	NA	1	13.4902843	0.469387755	30.84133333	NA	1.029140629	1.533464522	0	0.21686747	0	0
chr1_183916152_CBRM	CBRM	2.174424446	0.11480504	0.25013837	12	3	31	2	25.66707297	0.459183673	31.92770833	0	2.036398783	2.678836407	0	0.192771084	2	30.14504955
chr1_183916152_CBRMUT	CBRMUT	2.257986039	0.120929422	0.263482235	12	3	NA	0	0	0.479591837	33.40745833	NA	0.04710786	0.687618707	0	0.192771084	2	30.14504955
chr1_187649749_SCRUBR	SCRUBR	0.142690985	0.021523125	0.046894799	12	3	NA	1	10.77169723	0.428571429	28.02295833	NA	1.973001792	3.679245082	0	0.180722892	0	0
chr1_187649749_UBR	UBR	0.022327092	0.012631172	0.027520923	12	3	NA	2	27.1894968	0.428571429	27.78258333	NA	2.667838612	3.413847813	0	0.168674699	0	0
chr1_187907359_UBR	UBR	1.185529982	0.050873997	0.110844773	12	3	NA	1	10.34472878	0.551020408	35.86408333	NA	0.999145941	2.509672426	0	0.277108434	1	12.27335709
chr1_18889539_SCRUBR	SCRUBR	0.263773127	0.076177603	0.165976522	12	3	NA	0	0	0.316326531	20.05433333	NA	0.476862146	1.608807562	2	0.084337349	0	0
chr1_18889539_UBR	UBR	0.045241122	0.00717291	0.015628408	12	3	NA	2	24.07091369	0.316326531	20.19370833	NA	2.62944143	4.58556309	1	0.084337349	0	0
chr1_189821683_CBRNO	CBRNO	0.177031083	0.010872663	0.023689467	12	3	33	0	0	0.5	30.50520833	0	1.511304992	4.663486391	0	0.277108434	0	0
chr1_189821683_SCRCBRNO	SCRCBRNO	0.976831491	0.090042251	0.196184957	12	3	NA	1	10.5032084	0.5	30.77045833	NA	2.059943994	3.633236738	0	0.265060241	0	0
chr1_190914379_SCRUBR	SCRUBR	0.140212461	0.007344861	0.016003056	12	3	NA	0	0	0.37755102	24.57295833	NA	0.742554499	2.87525523	1	0.13253012	0	0
chr1_190914379_UBR	UBR	0.02604192	0.001850124	0.004031069	12	3	NA	1	11.75664289	0.37755102	25.13445833	NA	1.114804926	1.974198707	1	0.13253012	0	0
chr1_193007114_CBRNO	CBRNO	1.232062532	0.093962908	0.204727324	12	3	44	0	0	0.581632653	39.47758333	0	0.354072713	1.650527004	0	0.325301205	1	11.06120385
chr1_193007114_SCRCBRNO	SCRCBRNO	1.768981514	0.042005223	0.0915214	12	3	NA	1	10.14857036	0.581632653	39.20795833	NA	0.956427868	2.165068786	0	0.337349398	0	0
chr1_193576204_CBRM	CBRM	1.546063638	0.11109546	0.2420559	12	3	37	2	25.66707297	0.459183673	29.03683333	0	2.011940617	2.381474815	0	0.21686747	2	20.68945756
chr1_193576204_CBRMUT	CBRMUT	0.571005446	0.067326879	0.146692478	12	3	NA	0	0	0.479591837	30.51658333	NA	0.022649707	0.390257382	0	0.21686747	2	20.68945756
chr1_193576204_SCRCBRM	SCRCBRM	1.233836899	0.058207963	0.126824093	12	3	NA	0	0	0.459183673	29.19333333	NA	0.229212395	1.210484165	0	0.21686747	0	0
chr1_193801181_CBRM	CBRM	5.856126945	0.361657659	0.787983323	12	3	73	1	10.34472878	0.551020408	38.24833333	0	1.422555114	1.980339524	0	0.253012048	1	12.61868561
chr1_193801181_CBRMUT	CBRMUT	1.80315841	0.079179613	0.172517334	12	3	NA	0	0	0.56122449	39.17670833	NA	0.617691078	0.992339144	0	0.265060241	1	12.61868561
chr1_193801181_SCRCBRM	SCRCBRM	0.344584275	0.023414647	0.051016067	12	3	NA	1	11.41981592	0.551020408	39.40895833	NA	0.953929885	1.06980025	0	0.253012048	0	0
chr1_194115239_SCRUBR	SCRUBR	0.275961479	0.015901348	0.034646016	12	3	NA	0	0	0.387755102	23.36433333	NA	0.351191966	1.689214855	2	0.120481928	0	0
chr1_194115239_UBR	UBR	0.339599448	0.026657244	0.05808107	12	3	NA	1	10.20194783	0.387755102	24.44845833	NA	1.03146257	1.852930568	2	0.120481928	0	0
chr1_195013340_CBRM	CBRM	9.351592055	0.5452743	1.188049099	12	3	83	1	12.83353649	0.37755102	20.71108333	1	1.742705237	2.687560254	2	0.156626506	0	0
chr1_195013340_CBRMUT	CBRMUT	2.125643547	0.074081967	0.161410531	12	3	NA	0	0	0.387755102	21.45095833	NA	0.748059162	1.691939077	2	0.156626506	0	0
chr1_196817339_CBRM	CBRM	2.833985438	0.129885264	0.282995313	12	3	63	1	11.6507978	0.43877551	31.86358333	0	1.738665152	3.376939287	0	0.180722892	0	0
chr1_196817339_CBRMUT	CBRMUT	2.35763911	0.122466355	0.266830919	12	3	NA	0	0	0.448979592	32.68695833	NA	0.749746056	2.379375778	0	0.180722892	0	0
chr1_196817339_SCRCBRM	SCRCBRM	0.822392718	0.145468716	0.316948694	12	3	NA	0	0	0.43877551	31.59920833	NA	0.357210746	2.613583122	0	0.180722892	0	0
chr1_196844514_CBRNO	CBRNO	0.317178458	0.052847198	0.115144003	12	3	45	0	0	0.448979592	26.10395833	0	0.063955996	0.844149257	1	0.180722892	0	0
chr1_196844514_SCRCBRNO	SCRCBRNO	0.862099991	0.059081634	0.128727654	12	3	NA	0	0	0.448979592	25.08308333	NA	0.12000811	1.357422119	1	0.180722892	0	0
chr1_20086089_SCRUBR	SCRUBR	0.927134708	0.375445255	0.965112064	5	1	NA	0	0	0.306122449	18.88095833	NA	0.307858246	1.984813434	0	0.084337349	0	0
chr1_27175009_UBR	UBR	2.8384813	0.089989296	0.196069578	12	3	NA	2	26.70760735	0.326530612	21.86420833	NA	2.009029979	2.291644601	1	0.144578313	0	0
chr1_31009069_UBR	UBR	0.5730744	0.041513457	0.090449936	12	3	NA	2	23.1764588	0.387755102	23.03233333	NA	2.023242737	2.63975555	2	0.180722892	0	0
chr1_31327979_SCRUBR	SCRUBR	0.17863064	0.080235132	0.196328146	6	2	NA	0	0	0.285714286	18.01195833	NA	0.135042604	1.415752087	1	0.096385542	0	0
chr1_31327979_UBR	UBR	0.242262078	0.021500234	0.046844926	12	3	NA	1	12.07981953	0.285714286	16.95833333	NA	1.219480359	2.171291493	0	0.096385542	0	0
chr1_34183519_UBR	UBR	0.504339694	0.090112297	0.196337573	12	3	NA	1	12.07981953	0.367346939	22.50045833	NA	1.749561024	3.603365991	0	0.108433735	0	0
chr1_34496446_CBRNO	CBRNO	1.009218785	0.02769193	0.060335454	12	3	83	0	0	0.56122449	43.05095833	0	0.022366785	0.336770374	0	0.337349398	2	23.99537578
chr1_34496446_SCRCBRNO	SCRCBRNO	0.788096585	0.034449403	0.075058704	12	3	NA	0	0	0.56122449	42.49945833	NA	0.005601863	0.105956489	0	0.337349398	1	10.78691033
chr1_37307899_UBR	UBR	0.185373285	0.018826096	0.041018486	12	3	NA	1	14.90476851	0.459183673	33.40370833	NA	1.002782851	1.097877578	0	0.204819277	0	0
chr1_39424541_CBRNO	CBRNO	1.505555577	0.098104595	0.213751273	12	3	30	0	0	0.653061224	39.69383333	0	0.001646975	0.032386938	0	0.409638554	1	10.02167549
chr1_39424541_SCRCBRNO	SCRCBRNO	1.107612323	0.042518609	0.092639971	12	3	NA	0	0	0.653061224	40.36520833	NA	0.033064351	0.459823778	0	0.409638554	1	10.02167549
chr1_39531097_CBRM	CBRM	1.185512676	0.065477278	0.142662549	12	3	40	2	20.3936543	0.43877551	26.81220833	3	2.066030898	4.424426941	0	0.265060241	0	0
chr1_39531097_CBRMUT	CBRMUT	0.81857497	0.0517848	0.11282924	12	3	NA	0	0	0.459183673	28.75620833	NA	0.368964065	2.125425683	0	0.277108434	0	0
chr1_43440869_UBR	UBR	0.228018279	0.089513679	0.1950333	12	3	NA	1	12.46396302	0.37755102	26.77158333	NA	1.848764067	2.825315629	0	0.120481928	2	20.78256941
chr1_4350385_CBRM	CBRM	3.498419939	0.367125615	0.799896961	12	3	61	3	36.19458035	0.367346939	25.39220833	1	3.958302787	5.448849889	0	0.13253012	0	0
chr1_4350385_CBRMUT	CBRMUT	0.536367078	0.050960744	0.111033778	12	3	NA	0	0	0.397959184	27.61658333	NA	0.980528155	2.444575732	0	0.13253012	1	10.34472878
chr1_4350385_SCRCBRM	SCRCBRM	0.094879416	0.040189195	0.087564621	12	3	NA	1	11.6507978	0.367346939	25.19895833	NA	1.849017816	4.891484889	0	0.13253012	1	11.06120385
chr1_44641752_CBRNO	CBRNO	2.839780784	0.14321387	0.312035813	12	3	32	0	0	0.551020408	44.30633333	0	0.000687772	0.013759947	0	0.228915663	6	88.05247623
chr1_46321679_UBR	UBR	0.4501046	0.055052853	0.119949706	12	3	NA	1	13.4902843	0.357142857	22.59995833	NA	1.711530538	3.699535531	1	0.156626506	0	0
chr1_48442659_UBR	UBR	1.277523099	0.101729713	0.221649716	12	3	NA	2	20.61630146	0.336734694	19.98558333	NA	2.571872271	4.442070138	0	0.096385542	0	0
